%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1689090541760273619,1,1689090541759929418,BlueROV2_base_link,0.5185041702851331,-0.09092990306630186,-1.13,0.0,0.0,0.0,0.0
1689090541763740190,2,1689090541763655900,BlueROV2_base_link,0.5165521508958391,-0.09330086489593123,-1.13,0.0,0.0,0.0,0.0
1689090541773525613,3,1689090541773452758,BlueROV2_base_link,0.5170664701905293,-0.092296729859858,-1.13,0.0,0.0,0.0,0.0
1689090541789197833,4,1689090541789129495,BlueROV2_base_link,0.5138499335659588,-0.08981744229469023,-1.13,0.0,0.0,0.0,0.0
1689090541793595653,5,1689090541793519496,BlueROV2_base_link,0.514813687469646,-0.0912334169594154,-1.13,0.0,0.0,0.0,0.0
1689090541803766087,6,1689090541803680658,BlueROV2_base_link,0.3055904464655128,0.03758087817895074,-1.13,0.0,0.0,0.0,0.0
1689090541813687172,7,1689090541813592433,BlueROV2_base_link,0.2934104306181362,0.04023106754235773,-1.13,0.0,0.0,0.0,0.0
1689090541823804085,8,1689090541823702096,BlueROV2_base_link,0.29949103229978846,0.039082933958776794,-1.13,0.0,0.0,0.0,0.0
1689090541834396315,9,1689090541834290027,BlueROV2_base_link,0.2941265897771977,0.03701435627842303,-1.13,0.0,0.0,0.0,0.0
1689090541849124830,10,1689090541848875045,BlueROV2_base_link,0.3002886235824951,0.039035305434861306,-1.13,0.0,0.0,0.0,0.0
1689090541861224571,11,1689090541860401868,BlueROV2_base_link,0.29859823584360706,0.03910927162005184,-1.13,0.0,0.0,0.0,0.0
1689090541861244223,12,1689090541861012220,BlueROV2_base_link,0.29414018918694507,0.037761221032323905,-1.13,0.0,0.0,0.0,0.0
1689090541880107801,13,1689090541879758358,BlueROV2_base_link,0.2954379377051564,0.03652741174231158,-1.13,0.0,0.0,0.0,0.0
1689090541884017542,14,1689090541883823394,BlueROV2_base_link,0.2971610674688674,0.03860928227075168,-1.13,0.0,0.0,0.0,0.0
1689090541888934805,15,1689090541888755798,BlueROV2_base_link,0.2970553874190475,0.03770067807695028,-1.13,0.0,0.0,0.0,0.0
1689090541904071964,16,1689090541903851985,BlueROV2_base_link,0.2942457701136938,0.037054472519817375,-1.13,0.0,0.0,0.0,0.0
